casi_section,mimic_section
PAST MEDICAL HISTORY/SURGICAL HISTORY,PAST MEDICAL / SURGICAL HISTORY
PAST MEDICAL ILLNESS,HISTORY OF PRESENT ILLNESS
PAST MEDICAL/ SURGICAL HISTORY,PAST MEDICAL / SURGICAL HISTORY
PAST MEDICATION HISTORY,DISCHARGE MEDICATIONS
PAST MEDICINES,DISCHARGE MEDICATIONS
PAST NEUROLOGIC HISTORY,NEUROLOGIC STATUS
PAST OB-GYN HISTORY,PAST OBSTETRICAL HISTORY
PAST OBSTETRICAL/GYNECOLOGICAL HISTORY,PAST OBSTETRICAL HISTORY
PAST OBSTETRICS HISTORY,PAST OBSTETRICAL HISTORY
PAST SURGERIES,SURGICAL HISTORY
PAST SURGERIES INCLUDE,SURGICAL HISTORY
PATIENT'S CLINICAL COURSE,CLINICAL COURSE
PE,
PEDIATRIC INFECTIOUS DISEASE CONSULTATION,INFECTIOUS DISEASE
PEDIATRIC INTENSIVE CARE UNIT,INFECTIOUS DISEASE
PENDING DISCHARGE 07/02/2007,DISCHARGE DATE
PERFORMANCE SUB-TEST,
PERFORMANCE SUBTEST,
PERITONEAL DIALYSIS,DIALYSIS
PERSONALITY AND BEHAVIORAL FUNCTIONING,NEUROLOGICAL AND BEHAVIORAL EXAMINATION
PERSONALITY FUNCTIONING,NEUROLOGICAL AND BEHAVIORAL EXAMINATION
PERTINENT HISTORY,HISTORY
PERTINENT IMAGING AND PROCEDURES,PERTINENT RADIOLOGY/IMAGING
PERTINENT IMAGING PERFORMED DURING THIS ADMISSION,PERTINENT RADIOLOGY/IMAGING
PERTINENT IMAGING PROCEDURES,PERTINENT RADIOLOGY/IMAGING
PERTINENT INVESTIGATIONS,
PERTINENT LAB TESTS,PERTINENT RESULTS
PERTINENT LABORATORY EXAMS,PERTINENT LAB RESULTS
PERTINENT LABORATORY STUDIES,PERTINENT LAB RESULTS
PERTINENT LABORATORY TESTS,PERTINENT LAB RESULTS
PERTINENT LABORATORY VALUES,PERTINENT LAB RESULTS
PERTINENT LABS AND DIAGNOSTICS ON ADMISSION,PERTINENT LAB RESULTS
PERTINENT LABS ON ADMISSION,PERTINENT LAB RESULTS
PERTINENT PAST MEDICAL HISTORY,PAST MEDICAL HISTORY
PERTINENT PROCEDURES,PROCEDURE
PERTINENT PROCEDURES AND INVESTIGATIONS,PROCEDURE
PERTINENT PROCEDURES/TESTS,PROCEDURE
PERTINENT RADIOLOGICAL EXAMINATIONS,PERTINENT RADIOLOGY/IMAGING
PERTINENT WORKUP,
PHYSICAL EXAM AT THE TIME OF DISCHARGE,PHYSICAL EXAM
PHYSICAL EXAM AT TIME OF ADMISSION,PHYSICAL EXAM
PHYSICAL EXAM GENERAL,PHYSICAL EXAM
PHYSICAL EXAMINATION (HLI,PHYSICAL EXAM
PHYSICAL EXAMINATION AT ADMISSION,PHYSICAL EXAM
PHYSICAL EXAMINATION AT THE TIME OF ADMISSION,PHYSICAL EXAM
PHYSICAL EXAMINATION BEFORE DISCHARGE,PHYSICAL EXAM
PHYSICAL EXAMINATION GENERAL,PHYSICAL EXAM
"PHYSICAL EXAMINATION HEAD, EYES, EARS, NOSE AND THROAT",PHYSICAL EXAM
PHYSICAL EXAMINATION ON ADMISSION TO 4A,PHYSICAL EXAM
PHYSICAL EXAMINATION ON ADMISSION VITAL SIGNS,PHYSICAL EXAM
PHYSICAL EXAMINATION ON THE DAY OF ADMISSION,PHYSICAL EXAM
PHYSICAL EXAMINATION ON THE DAY OF DISCHARGE,PHYSICAL EXAM
PHYSICAL EXAMINATION TODAY,PHYSICAL EXAM
PHYSICAL EXAMINATION VITAL SIGNS,PHYSICAL EXAM
PHYSICAL EXAMINATION VITALS,PHYSICAL EXAM
PHYSICAL SIGNS,PHYSICAL EXAM
PHYSICAL. EXAMINATION,PHYSICAL EXAM
PHYSICAL. GENERAL,PHYSICAL EXAM
PHYSICIAN FOLLOW UP,FOLLOW UP
PHYSICIAN FOLLOW-UP,FOLLOW UP
PHYSICIAN FOLLOWUP,FOLLOW UP
PHYSICIAN REQUESTING CONSULT,CONSULT REQUESTED BY
PHYSICIAN REQUESTING CONSULTATION,CONSULT REQUESTED BY
PICU,
PLAN & RECOMMENDATIONS,PLANS
PLAN AND RECOMMENDATIONS,PLANS
PLAN AND SUGGESTIONS,PLANS
PLAN OF ACTION,PLANS
PLAN ON ADMISSION,PLANS
PLAN/ACTION,PLANS
PLAN/DISCHARGE MEDICATIONS,PLANS
PLAN/RECOMMENDATIONS,PLANS
PLAN/SUGGESTIONS,PLANS
PLANNED DATE OF DISCHARGE,DATE OF DISCHARGE
PLANS FOR DISCHARGE,PLANS
PM&R CONSULTATION FOLLOW-UP NOTE,PMR
PNMC,
POST PROCEDURE IMPRESSION,POST PROCEDURE
POST-EXTUBATION LABORATORY DATA,EXTUBATION
POSTOP COURSE,POSTOP
POSTPARTUM COURSE,POSTOP
POSTTRANSPLANT COURSE,
PRE-ADMISSION MEDICATIONS,MEDICATIONS ON ADMISSION
PREADMISSION DIAGNOSIS,ADMITTING DIAGNOSIS
PREADMISSION MEDICATIONS,MEDICATIONS ON ADMISSION
PREGNANCY COMPLICATIONS,PREGNANCY
PREGNANCY ISSUES,PREGNANCY
PREHOSPITAL MEDICATIONS,MEDICATIONS ON ADMISSION
PRENATAL CARE,PRENATAL
PRENATAL LABORATORIES,PRENATAL LABS
PRENATAL LABORATORY,PRENATAL LABS
PRENATAL PROFILE,PRENATAL HISTORY
PREOP MEDICATIONS,PREOPERATIVE MEDICATIONS
PREOPERATIVE COURSE,PREOP
PREOPERATIVE PHYSICAL EXAMINATION VITAL SIGNS,PREOP EXAM
PREOPERATIVE STATUS AND JUDGMENT,PREOPERATIVE DIAGNOSES
PRESENT MEDICATION,CURRENT MEDICATIONS
PRESENT MEDICATIONS,CURRENT MEDICATIONS
PRESENT MEDICINES,CURRENT MEDICATIONS
PRESENTATION,CHIEF COMPLAINT
PRESENTING INFORMATION,CHIEF COMPLAINT
PRESENTING PROBLEM,CHIEF COMPLAINT
PREVIOUS CARDIAC STUDIES,CARDIAC STUDIES
PREVIOUS HOME MEDICATIONS,HOME MEDICATIONS
PRIMARY CARE PROVIDERC,PRIMARY CARE DOCTOR
PRIMARY CARE PROVIDERS,PRIMARY CARE DOCTOR
PRIMARY CAREFIVE,PRIMARY CARE DOCTOR
PRIMARY HEALTH CARE PROVIDER,PRIMARY CARE DOCTOR
PRIMARY MD,PRIMARY CARE DOCTOR
PRIMARY PHYSICIAN,PRIMARY CARE DOCTOR
PRIMARY PROCEDURE,PROCEDURE
PRIMARY PROCEDURES,PROCEDURE
PRIMARY PROVIDER,PRIMARY CARE DOCTOR
PRIMARY PULMONARY PHYSICIANS,PRIMARY CARE DOCTOR
PRIMARY-CARE PHYSICIAN,PRIMARY CARE DOCTOR
PRIMARY-CARE PROVIDERS,PRIMARY CARE DOCTOR
PRINCIPAL DIAGNOSES,PRINCIPAL DIAGNOSIS
PRINCIPAL DIDIAGNOSES,PRINCIPAL DIAGNOSIS
PRINCIPAL DISCHARGE DIAGNOSES,FINAL DISCHARGE DIAGNOSES
PRINCIPAL FINAL DIAGNOSES,FINAL DIAGNOSIS
PRINCIPAL PROCDURES,PROCEDURE
PRINCIPAL PROCEDURES,PROCEDURE
PRINCIPLE DIAGNOSIS,PRINCIPAL DIAGNOSIS
PRIOR HOSPITALIZATIONS AND SURGERY,PAST MEDICAL / SURGICAL HISTORY
"PRIOR HOSPITALIZATIONS, SURGERIES AND MEDICAL PROBLEMS",PAST MEDICAL / SURGICAL HISTORY
PRIOR SURGERIES,PAST SURGICAL HISTORY
PRIOR SURGERY,PAST SURGICAL HISTORY
PRIOR SURGICAL HISTORY,PAST SURGICAL HISTORY
PRIVATE MEDICAL DOCTOR,
PRN MEDICATION,PRN
PRN MEDICATIONS,PRN
PROBLEM # 1,PROBLEMS
PROBLEM # 2,PROBLEMS
PROBLEM # 3,PROBLEMS
PROBLEM # 4,PROBLEMS
PROBLEM # 5,PROBLEMS
PROBLEM # 8,PROBLEMS
PROBLEM # 9,PROBLEMS
PROBLEM #1,PROBLEMS
PROBLEM #10,PROBLEMS
PROBLEM #11,PROBLEMS
PROBLEM #12,PROBLEMS
PROBLEM #2,PROBLEMS
PROBLEM #2. ARDS,PROBLEMS
PROBLEM #2. ENT,PROBLEMS
PROBLEM #2. GI,PROBLEMS
PROBLEM #3,PROBLEMS
PROBLEM #3. GVHD,PROBLEMS
PROBLEM #4,PROBLEMS
PROBLEM #4. CV,PROBLEMS
PROBLEM #5,PROBLEMS
PROBLEM #5. HIV,PROBLEMS
PROBLEM #6,PROBLEMS
PROBLEM #7,PROBLEMS
PROBLEM #8,PROBLEMS
PROBLEM #9,PROBLEMS
PROBLEM 2,PROBLEMS
PROBLEM 3,PROBLEMS
PROBLEM BASED HOSPITAL COURSE,PROBLEMS
PROBLEM LIST UPON DISCHARGE,PROBLEMS
PROBLEM PRESENTED AT ADMISSION,PROBLEMS
PROBLEM#1,PROBLEMS
PROBLEM#9,PROBLEMS
PROBLEM-ORIENTED HOSPITAL COURSE,PROBLEMS
PROBLEMS ADDRESSED DURING TRANSITIONAL CARE STAY,PROBLEMS
PROBLEMS ENCOUNTERED IN THE HOSPITAL,PROBLEMS
PROBLEMS PRESENTED AT ADMISSION,PROBLEMS
PROBLEMS PRESENTED AT ADMSSION,PROBLEMS
PROBLEMS PRESENTED ON ADMISSION,PROBLEMS
PROBLEMS THAT ARE SOLVED,PROBLEMS
PROCDURES,PROCEDURE
PROCEDURE DURING HOSPITAL COURSE,PROCEDURE
PROCEDURE IN HOSPITAL,PROCEDURE
PROCEDURE LIST,PROCEDURE
PROCEDURE LIST AS FOLLOWS,PROCEDURE
PROCEDURE PERFORMED DURING THE HOSPITAL STAY,PROCEDURE
PROCEDURE PERFORMED DURING THIS ADMISSION,PROCEDURE
PROCEDURE PERFORMED WHILE IN THE HOSPITAL,PROCEDURE
PROCEDURE THIS ADMISSION,PROCEDURE
PROCEDURE/STUDIES PERFORMED,PROCEDURE
PROCEDURES AND ADMISSION LABS AND STUDIES PERFORMED,PROCEDURE
PROCEDURES AND CONSULTS,PROCEDURE
PROCEDURES AND DIAGNOSTIC STUDIES,PROCEDURE
PROCEDURES AND IMAGING,PROCEDURE
PROCEDURES AND INVESTIGATIONS,PROCEDURE
PROCEDURES AND LAB TESTS,PROCEDURE
PROCEDURES AND OPERATIONS,PROCEDURE
PROCEDURES AND OTHER TESTS,PROCEDURE
PROCEDURES AND OTHER TESTS DONE,PROCEDURE
PROCEDURES AND RESULTS,PROCEDURE
PROCEDURES AND SIGNIFICANT LABORATORY VALUES,PROCEDURE
PROCEDURES AND STUDIES,PROCEDURE
PROCEDURES AND TESTS,PROCEDURE
PROCEDURES AND TESTS DONE WHILE HOSPITALIZED HERE INCLUDE,PROCEDURE
PROCEDURES AT THE TIME OF HOSPITALIZATION,PROCEDURE
PROCEDURES DONE,PROCEDURE
PROCEDURES DONE DURING ADMISSION,PROCEDURE
PROCEDURES DONE DURING HOSPITALIZATION,PROCEDURE
PROCEDURES DONE DURING PRESENT ADMISSION,PROCEDURE
PROCEDURES DONE DURING THE HOSPITALIZATION,PROCEDURE
PROCEDURES DONE DURING THIS ADMISSION,PROCEDURE
PROCEDURES DONE DURING THIS HOSPITALIZATION,PROCEDURE
PROCEDURES DONE THIS HOSPITALIZATION,PROCEDURE
PROCEDURES DONE WHILE INPATIENT,PROCEDURE
PROCEDURES DURING HOSPITALIZATION,PROCEDURE
PROCEDURES DURING STAY,PROCEDURE
PROCEDURES DURING THIS HOSPITALIZATION,PROCEDURE
PROCEDURES IN HOSPITAL,PROCEDURE
PROCEDURES ON THIS ADMISSION,PROCEDURE
PROCEDURES PEERFORMED,PROCEDURE
PROCEDURES PEFORMED,PROCEDURE
PROCEDURES PERFORMD THIS HOSPITALIZATION,PROCEDURE
PROCEDURES PERFORMED DURING ADMISSION,PROCEDURE
PROCEDURES PERFORMED DURING HOSPITAL STAY,PROCEDURE
PROCEDURES PERFORMED DURING HOSPITALIZATION,PROCEDURE
PROCEDURES PERFORMED DURING STAY,PROCEDURE
PROCEDURES PERFORMED DURING THIS ADMISSION,PROCEDURE
PROCEDURES PERFORMED DURING THIS HOSPITAL STAY,PROCEDURE
PROCEDURES PERFORMED DURING THIS HOSPITALIZATION,PROCEDURE
PROCEDURES PERFORMED DURING THIS HOSPITLIZATION,PROCEDURE
PROCEDURES PERFORMED DURING THIS STAY,PROCEDURE
PROCEDURES PERFORMED HERE IN HOSPITAL STAY,PROCEDURE
PROCEDURES PERFORMED ON ADMISSION,PROCEDURE
PROCEDURES PERFORMED THIS ADMISSION,PROCEDURE
PROCEDURES PERFORMED THIS HOSPITALIZATION,PROCEDURE
PROCEDURES PERFORMED WHILE HOSPITALIZED,PROCEDURE
PROCEDURES PERFORMED WHILE IN HOSPITAL,PROCEDURE
PROCEDURES THIS ADMISSION,PROCEDURE
PROCEDURES THIS HOSPITALIZATION,PROCEDURE
"PROCEDURES, OTHER STUDIES DONE",PROCEDURE
PROCEDURES/IMAGING,PROCEDURE
PROCEDURES/INTERVENTIONS THIS ADMISSION,PROCEDURE
PROCEDURES/INVESTIGATIONS,PROCEDURE
PROCEDURES/TREATMENT PERFORMED,PROCEDURE
PROPOSED ANESTHESIA,ANESTHESIA
PSYCHIATRIC DIAGNOSIS,PSYCHIATRIC / SLEEP
PSYCHOLOGICAL AND BEHAVIORAL FUNCTIONING,NEUROLOGICAL AND BEHAVIORAL EXAMINATION
PSYCHOLOGICAL FUNCTIONING,PSYCHO/SOCIAL
"PSYCHOLOGICAL, SOCIAL, AND BEHAVIORAL FUNCTIONING",PSYCHO/SOCIAL
PSYCHOLOGICAL/PERSONALITY FUNCTIONING,PSYCHO/SOCIAL
PTT 56,PT / PTT / INR
RA,
RADIOGRAPHIC,RADIOLOGY
RADIOGRAPHIC EVALUATION,RADIOLOGY
RADIOGRAPHIC STUDIES DURING THIS ADMISSION,RADIOLOGY
RADIOGRAPHS,RADIOLOGY
RADIOLOGICAL EXAM,RADIOLOGY
RAPID CITY HOSPITAL COURSE,BRIEF HOSPITAL COURSE
RE,
REASON FOR ADMISSION & HOSPITAL COURSE,REASON
REASON FOR ADMISSION AND HOSPITAL COURSE,REASON
REASON FOR CONSULTATION,REASON
REASON FOR CONSULTATION/HISTORY OF PRESENT ILLNESS,REASON
REASON FOR DEATH,REASON
REASON FOR HOSPITALIZATION,REASON
REASON FOR PRESENTATION,REASON
REASON FOR PROCDURE,REASON
REASON FOR VISIT,REASON
RECENT ADMISSIONS,ADMISSION
RECENT LABORATORIES,LABS
RECENT LABORATORY TESTS,LABS
RECENT MEDICATIONS,PREMEDICATIONS
RECOMMENDATIONS AND DISCUSSION,FUNCTIONAL STATUS
RECOMMENDATIONS FOR FOLLOW UP,FOLLOW UP
RECOMMENDATIONS/PLAN,PLAN
RECURRENT MEDICAL PROBLEMS,PROBLEMS
REFERRING PHYSICIANS,REFERRING DOCTOR
REHAB COURSE,REHABILITATION/ PHYSICAL THERAPY
REHAB DISCHARGE RECOMMENDATIONS,REHABILITATION/ PHYSICAL THERAPY
REHABILITATION COURSE,REHABILITATION/ PHYSICAL THERAPY
REHABILITATION DIAGNOSES,REHABILITATION/ PHYSICAL THERAPY
REHABILITATION DISCHARGE RECOMMENDATIONS,REHABILITATION/ PHYSICAL THERAPY
RELEVANT HISTORY AND REASON FOR REFERRAL,REASON FOR REFERRAL
RELEVANT HISTORY/REASON FOR REFERRAL,REASON FOR REFERRAL
RELEVANT IMAGING AND OTHER STUDIES PERFORMED,IMAGING
RELEVANT INTERVIEW INFORMATION,PERTINENT RESULTS
RELEVANT LABORATORY DATA,PERTINENT LAB RESULTS
RELEVANT LABS ON ADMISSION,PERTINENT LAB RESULTS
"RELEVANT TESTS, PROCEDURES AND CONSULTATIONS DURING THIS HOSPITALIZATION",PERTINENT RESULTS
REMARKABLE LABS AND PROCEDURE,PERTINENT RESULTS
REQUESTED BY,CONSULT REQUESTED BY
REQUESTING CARDIOLOGIST,REQUESTING PHYSICIAN
REQUESTING CARE PROVIDER,REQUESTING PHYSICIAN
REQUESTING PHYSICIAN/REASON FOR CONSULTATION,REQUESTING PHYSICIAN
REQUESTING PHYSICIANS,REQUESTING PHYSICIAN
REQUESTING PROVIDER,REQUESTING PHYSICIAN
RESTRICTIONS,FLUID RESTRICTION
RESTRICTIONS/DIET/SPECIAL INSTRUCTIONS,FLUID RESTRICTION
RESULTS OF STUDY,PERTINENT RESULTS
RESULTS PENDING,PENDING LABS
RESUSCITATION STATUS,DNR/DNI
REVIEW OF SYSTEMS CONSTITUTIONAL,REVIEW OF SYSTEMS
REVIEW OF SYSTEMS GENERAL,REVIEW OF SYSTEMS
REVIEW OF SYSTEMS ON ADMISSION,REVIEW OF SYSTEMS
REVIEW OF SYSTEMS/PAST MEDICAL HISTORY,REVIEW OF SYSTEMS
REVISED DISCHARGE MEDICATIONS LIST,DISCHARGE MEDICATIONS
RSV,
S,
SECONDARY DISCHARGE DIAGNOSES AND PAST MEDICAL HISTORY,SECONDARY DX
SECTION #2,
SELF-RATING SCALES,
SENSORY EXAM,SENSORY SYSTEM
SERUM LABS,SERUM TOX
SGA,
SHE IS ALLERGIC OR INTOLERANT OF PENICILLIN,ALLERGIES
SIDE EFFECTS FROM MEDICATIONS,EFFECT OF THERAPY
SIGNIFICANT FINDINGS,SIGNIFICANT EVENTS
SIGNIFICANT LABORATORY AND STUDIES,SIGNIFICANT EVENTS
SIGNIFICANT LABORATORY DATA,SIGNIFICANT EVENTS
SIGNIFICANT LABORATORY DURING HOSPITALIZATION,SIGNIFICANT EVENTS
SIGNIFICANT LABORATORY STUDIES DURING THE HOSPITAL STAY,SIGNIFICANT EVENTS
SIGNIFICANT PAST MEDICAL HISTORY NOT MENTIONED IN DISCHARGE DIAGNOSES INCLUDES,SIGNIFICANT EVENTS
SIGNIFICANT STUDIES AND PROCEDURES,SIGNIFICANT EVENTS
SOCIAL HISTORY/FAMILY HISTORY,SOCIAL HISTORY
SOCIAL HISTORY/HABITS,SOCIAL HISTORY
SOCIAL HISTORY/HEALTH HABITS,SOCIAL HISTORY
"SOCIAL, EMOTIONAL AND BEHAVIORAL FUNCTIONING",SOCIAL/DISPO
"SOCIAL, EMOTIONAL, AND BEHAVIORAL FUNCTIONING",SOCIAL/DISPO
SOCIAL/EMOTIONAL AND BEHAVIORAL FUNCTIONING,SOCIAL/DISPO
SPECIFIC DISCHARGE INSTRUCTIONS,DISCHARGE INSTRUCTIONS
SPIRITUAL SOURCES OF HELP,
SSUES DURING HOSPITAL COURSE,ISSUES
STAFF ADDENDUM,ADDENDUM
STAFF ADDENDUM NOTE,ADDENDUM
STAFF ADMIT NOTE,ADMIT NOTE
STAFF NOTE,NOTE
STAGE II,STAGE 2 DECUBITUS ULCER
STATUS AT DISCHARGE,DISCHARGE STATUS
STROKE RISK FACTOR WORKUP,STROKE
STUDIES AND PROCEDURES,STUDIES
STUDIES DURING HOSPITALIZATION,STUDIES
STUDIES DURING THIS HOSPITALIZATION,STUDIES
STUDIES PERFORMED,STUDIES
STUDIES PERFORMED DURING THIS HOSPITALIZATION,STUDIES
"STUDIES, PROCEDURES AND CONSULTS",STUDIES
SUBJECTIVE ASSESSMENT,SUBJECTIVE
SUBJECTIVE DATA,SUBJECTIVE
SUMMARY AND CLINICAL IMPRESSION,CLINICAL IMPRESSION / PROGNOSIS
SUMMARY AND CLINICAL IMPRESSIONS,CLINICAL IMPRESSION / PROGNOSIS
SUMMARY AND CONCLUSIONS,FINDINGS
SUMMARY CASE,FINDINGS
SUMMARY OF ADMISSION,ON ADMISSION
SUMMARY OF CASE,FINDINGS
SUMMARY OF CURRENT FINDINGS,FINDINGS
SUMMARY OF EVENTS LEADING TO DEATH,SUMMARY / IMPRESSION
SUMMARY OF HOSPITAL STAY,SUMMARY OF HOSPITAL COURSE BY SYSTEMS
SUMMARY OF HOSPITALIZATION,SUMMARY / IMPRESSION
SUMMARY OF ILLNESS AND HOSPITAL COURSE,EVENTS / HISTORY OF PRESENT ILLNESS
SUMMARY/CLINICAL IMPRESSION,CLINICAL IMPRESSION / PROGNOSIS
SURGICAL INDICATIONS,MAJOR SURGICAL OR INVASIVE PROCEDURE
SYMPTOM REVIEW,REVIEW OF SYMPTOMS
SYMPTON REVIEW,REVIEW OF SYMPTOMS
SYNAPSE OF HISTORY AND PHYSICAL,PAST MEDICAL HISTORY
SYNOPSIS OF HISTORY AND PHYSICAL,PAST MEDICAL HISTORY
SYSTEM #4,REVIEW OF SYSTEMS
T,TEMPERATURE
T - 99 P - 78 135/81,TEMPERATURE
T 100 90 115/67,TEMPERATURE
"T 97, 103 92/69",TEMPERATURE
TASKS ADMINISTERED AND TASKS COMPLETED,TASKS
TBA,
TBA 7/24/03,
TCS COURSE,
TEACHING AFTER DISCHARGE,RECOMMENDATIONS AFTER DISCHARGE
TELEPHONE CONVERSATION,TELEPHONE
TELEPHONE INTERACTION,TELEPHONE
TEST RESULTS,RESULTS
TESTS AND PROCEDURES,TEST
TESTS DONE DURING THIS HOSPITAL STAY,TEST
TESTS DONE DURING THIS HOSPITALIZATION,TEST
TESTS PENDING AT DISCHARGE,TEST
TESTS RESULTS,PERTINENT RESULTS
TET,
THE FOLLOWING IS A REHAB DISCHARGE SUMMARY,DISCHARGE CONDITION
TIME FOR CONSULTATION,TIME OF EXAM
TIME OF CONSULTATION,TIME OF EXAM
TRANSFER ASSESSMENT AND PLANS,TRANSFER
TRANSFER MEDICATION,MEDICATIONS ON TRANSFER
TRANSFER/ADMISSION MEDICATIONS,TRANSFER DIAGNOSES
TRANSFER/DISCHARGE MEDICATIONS,TRANSFER DIAGNOSES
TRANSFER/DISCHARGE SUMMARY,TRANSFER DIAGNOSES
TRANSFERRING DIAGNOSES,TRANSFER DIAGNOSES
TRANSFERRING MEDICATIONS,TRANSFER MEDICATIONS
TRANSITION & LIFE CHOICES CONSULTATION,TRANSITION OF CARE
TREATMENT PLAN AND RECOMMENDATION,TREATMENT PLAN
TREATMENT RECOMMENDATIONS,TREATMENT PLAN
TREATMENT RENDERED,TREATMENT PLAN
TREATMENTS/THERAPIES,TREATMENT PLAN
TSH 1.48,TSH
TYPE OF PROCEDURE,PROCEDURE AND FINDINGS
UA,URINE CX
UNCHANGED MEDICATIONS,
VS,VITALS
"VS 36.3, 82, 111/58, 18",VITALS
"VS 72, 145/114, 14, 100% GENERAL",VITALS
WCC,
WEIGHTBEARING STATUS,WEIGHT BEARING STATUS
WORKING DIAGNOSIS,DIAGNOSIS
X-RAY,XRAY
X-RAY/LAB RESULTS,XRAY
X-RAYS,XRAY
XY,